"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2259","Validate logo visibility on compare page","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","2721","Validate Books category page","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","3570","Validate search box visibility on cart page","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","1576","Validate search button enabled state","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","1840","Login button visibility validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","4296","Validate cart page URL","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","13085","Validate checkout redirect page refresh behavior","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","6162","Validate cart page refresh behavior","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","6255","Validate checkout page navigation menu visibility","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","7147","Validate compare page direct URL navigation","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","1653","Login page heading validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","5928","Login with invalid credentials using POM","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","2916","Open order history page without login","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","4272","Validate search button visibility on checkout page","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","5743","Validate checkout redirect page title","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","2988","Password recovery with empty email validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","5806","Login page title validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","3188","Password required field validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","2559","Validate compare products page title","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","3835","Open shopping cart page using POM","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","7033","Validate shopping cart text after checkout redirect","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","1771","Password textbox accepts input","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","2537","Remember me checkbox validation","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","2502","Validate search textbox accepts input","chromium","2026-05-28","passed","2026-05-28","","product.spec.js","",""
"","3447","Validate footer visibility on cart page","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","3413","Validate search button visibility on cart page","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","3847","Validate cart page title","chromium","2026-05-28","passed","2026-05-28","","cart.spec.js","",""
"","1447","Validate footer visibility on compare page","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","5160","Validate search box visibility on checkout page","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","2336","Validate header visibility on compare page","chromium","2026-05-28","passed","2026-05-28","","compareOrder.spec.js","",""
"","1919","Validate payment method page is not accessible with empty cart","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","1495","Email textbox accepts valid email input","chromium","2026-05-28","passed","2026-05-28","","authentication.spec.js","",""
"","18767","Validate checkout URL redirects to cart page","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
