"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5743","Validate checkout redirect page title","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","450","Validate search button visibility","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","2215","Validate search button visibility on cart page","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","498","Email required field validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","567","Search product with empty keyword","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","2455","Validate checkout page body visibility","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","2245","Validate homepage logo visibility on cart page","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","369","Validate Books category page","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","418","Email textbox visibility validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","2214","Validate footer visibility on checkout page","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","262","Validate Electronics category page","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","280","Validate compare page body visibility","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","525","Forgot password page navigation validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","2172","Validate cart page header visibility","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","379","Validate payment information page is not accessible with empty cart","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","2229","Validate checkout page navigation menu visibility","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","293","Validate search box visibility on compare page","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","301","Validate cart page navigation from direct URL","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","501","Validate order history redirects to login page","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","539","Navigate to Computers category","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","272","Validate compare page content wrapper visibility","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","2311","Validate cart page responsiveness","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","274","Validate Computers page heading","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","339","Validate footer visibility on compare page","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","2248","Validate search box visibility on checkout page","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","2303","Open checkout page using POM","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","390","Validate login page shown for order history access","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","2437","Validate search box visibility on cart page","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","2235","Validate cart page contains shopping cart text","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","405","Login page heading validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","7033","Validate shopping cart text after checkout redirect","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","248","Validate compare products page title","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","2253","Validate checkout page content wrapper visibility","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","384","Validate payment confirmation page is protected without checkout flow","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","2240","Open shopping cart page using POM","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","386","Validate payment method page is not accessible with empty cart","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","283","Validate compare products page heading","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","265","Validate Apparel category page","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","2445","Validate shopping cart page heading","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","618","Password required field validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","506","Validate search textbox accepts input","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","401","Open order history page without login","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","2238","Validate checkout redirects to shopping cart when cart is empty","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","422","Validate logo visibility on compare page","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","2230","Validate checkout page header visibility","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","614","Search product with another valid keyword","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","2254","Validate cart page loads successfully","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","625","Validate search result page opens","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","2238","Validate cart page title","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","423","Password textbox visibility validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","2222","Validate checkout page loads successfully","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","249","Validate compare page contains compare text","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","18767","Validate checkout URL redirects to cart page","chromium","2026-05-28","passed","2026-05-28","","checkout.spec.js","",""
"","448","Login button visibility validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","383","Validate compare page direct URL navigation","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","638","Forgot password navigation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","2237","Validate footer visibility on cart page","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","489","Password recovery with empty email validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","2344","Validate cart page refresh behavior","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
"","468","Validate homepage logo visibility","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","401","Validate search button enabled state","chromium","2026-05-29","passed","2026-05-29","","product.spec.js","",""
"","2216","Validate checkout page logo visibility","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","447","Login page title validation","chromium","2026-05-29","passed","2026-05-29","","authentication.spec.js","",""
"","2216","Validate search button visibility on checkout page","chromium","2026-05-29","passed","2026-05-29","","checkout.spec.js","",""
"","414","Validate header visibility on compare page","chromium","2026-05-29","passed","2026-05-29","","compareOrder.spec.js","",""
"","2183","Validate cart page content visibility","chromium","2026-05-29","passed","2026-05-29","","cart.spec.js","",""
